Hugo Symbol	ensembl	oncokb	mskcc	mane
QKI	ENST00000361752	ENST00000361752		ENST00000361752
RAB35	ENST00000229340	ENST00000229340	ENST00000229340	ENST00000229340
RAC1	ENST00000348035	ENST00000356142	ENST00000356142	ENST00000348035
RAC2	ENST00000249071	ENST00000249071	ENST00000249071	ENST00000249071
RAD17	ENST00000354868	ENST00000380774		ENST00000354868
RAD21	ENST00000297338	ENST00000297338	ENST00000297338	ENST00000297338
RAD50	ENST00000378823	ENST00000378823	ENST00000378823	ENST00000378823
RAD51	ENST00000267868	ENST00000267868	ENST00000267868	ENST00000267868
RAD51B	ENST00000471583	ENST00000487270	ENST00000487270	
RAD51C	ENST00000337432	ENST00000337432	ENST00000337432	ENST00000337432
RAD51D	ENST00000345365	ENST00000345365	ENST00000345365	ENST00000345365
RAD52	ENST00000358495	ENST00000358495	ENST00000358495	ENST00000358495
RAD54L	ENST00000371975	ENST00000371975	ENST00000442598	ENST00000371975
RAF1	ENST00000251849	ENST00000251849	ENST00000251849	ENST00000442415
RANBP2	ENST00000283195	ENST00000283195		ENST00000283195
RARA	ENST00000254066	ENST00000254066	ENST00000254066	ENST00000254066
RASA1	ENST00000274376	ENST00000274376	ENST00000274376	ENST00000274376
RB1	ENST00000267163	ENST00000267163	ENST00000267163	ENST00000267163
RBM10	ENST00000377604	ENST00000628161	ENST00000329236	ENST00000377604
RBM15	ENST00000369784	ENST00000369784		ENST00000369784
RECQL	ENST00000444129	ENST00000421138	ENST00000444129	ENST00000444129
RECQL4	ENST00000617875	ENST00000617875	ENST00000617875	ENST00000617875
REL	ENST00000394479	ENST00000295025	ENST00000295025	ENST00000394479
RELN	ENST00000428762	ENST00000428762		ENST00000428762
REST	ENST00000309042	ENST00000309042	ENST00000309042	ENST00000309042
RET	ENST00000355710	ENST00000355710	ENST00000355710	ENST00000355710
REV3L	ENST00000368802	ENST00000358835		ENST00000368802
RHEB	ENST00000262187	ENST00000262187	ENST00000262187	ENST00000262187
RHOA	ENST00000418115	ENST00000418115	ENST00000418115	ENST00000418115
RICTOR	ENST00000357387	ENST00000357387	ENST00000357387	ENST00000357387
RIOK2	ENST00000283109			ENST00000283109
RIT1	ENST00000368323	ENST00000368323	ENST00000368323	ENST00000368323
RNASEH2A	ENST00000221486	ENST00000221486		ENST00000221486
RNASEH2B	ENST00000336617	ENST00000336617		ENST00000336617
RNF34	ENST00000361234		ENST00000361234	
RNF43	ENST00000407977	ENST00000407977	ENST00000407977	ENST00000407977
ROBO1	ENST00000464233	ENST00000464233		ENST00000464233
ROS1	ENST00000368507	ENST00000368508	ENST00000368508	ENST00000368507
RPL5	ENST00000370321	ENST00000370321		ENST00000370321
RPS15	ENST00000592588	ENST00000593052		ENST00000592588
RPS6KA4	ENST00000334205	ENST00000334205	ENST00000334205	ENST00000334205
RPS6KB1	ENST00000225577			ENST00000225577
RPS6KB2	ENST00000312629	ENST00000312629	ENST00000312629	ENST00000312629
RPTOR	ENST00000306801	ENST00000306801	ENST00000306801	ENST00000306801
RRAGC	ENST00000373001	ENST00000373001	ENST00000373001	ENST00000373001
RRAS	ENST00000246792	ENST00000246792	ENST00000246792	ENST00000246792
RRAS2	ENST00000256196	ENST00000256196	ENST00000256196	ENST00000256196
RTEL1	ENST00000360203	ENST00000360203	ENST00000360203	ENST00000360203
RUNX1	ENST00000675419	ENST00000300305	ENST00000675419	ENST00000675419
RUNX1T1	ENST00000523629	ENST00000265814		
RXRA	ENST00000481739	ENST00000481739	ENST00000481739	ENST00000481739
RYBP	ENST00000477973	ENST00000477973	ENST00000477973	
SAMD9	ENST00000379958			ENST00000379958
SAMD9L	ENST00000318238			ENST00000318238
SAMHD1	ENST00000646673	ENST00000646673		ENST00000646673
SCG5	ENST00000300175	ENST00000300175	ENST00000300175	
SDCCAG8	ENST00000366541		ENST00000366541	ENST00000366541
SDHA	ENST00000264932	ENST00000264932	ENST00000264932	ENST00000264932
SDHAF2	ENST00000301761	ENST00000301761	ENST00000301761	ENST00000301761
SDHB	ENST00000375499	ENST00000375499	ENST00000375499	ENST00000375499
SDHC	ENST00000367975	ENST00000367975	ENST00000367975	ENST00000367975
SDHD	ENST00000375549	ENST00000375549	ENST00000375549	ENST00000375549
SERPINB3	ENST00000283752	ENST00000283752	ENST00000283752	ENST00000283752
SERPINB4	ENST00000341074	ENST00000341074		ENST00000341074
SESN1	ENST00000436639	ENST00000436639	ENST00000436639	
SESN2	ENST00000253063	ENST00000253063	ENST00000253063	ENST00000253063
SESN3	ENST00000536441	ENST00000536441	ENST00000536441	ENST00000536441
SET	ENST00000322030	ENST00000372692		ENST00000322030
SETBP1	ENST00000649279	ENST00000649279		ENST00000649279
SETD1A	ENST00000262519	ENST00000262519		ENST00000262519
SETD1B	ENST00000604567	ENST00000604567		ENST00000604567
SETD2	ENST00000409792	ENST00000409792	ENST00000409792	ENST00000409792
SETD3	ENST00000331768	ENST00000331768		ENST00000331768
SETD4	ENST00000332131	ENST00000332131		ENST00000332131
SETD5	ENST00000402198	ENST00000402198		ENST00000402198
SETD6	ENST00000219315	ENST00000219315		ENST00000219315
SETD7	ENST00000274031	ENST00000274031		ENST00000274031
SETDB1	ENST00000692827	ENST00000271640	ENST00000271640	
SETDB2	ENST00000611815	ENST00000317257		
SF3B1	ENST00000335508	ENST00000335508	ENST00000335508	ENST00000335508
SF3B2	ENST00000322535	ENST00000322535		ENST00000322535
SFRP1	ENST00000220772	ENST00000220772		ENST00000220772
SFRP2	ENST00000274063	ENST00000274063		ENST00000274063
SGK1	ENST00000367858	ENST00000237305		
SH2B3	ENST00000341259	ENST00000341259	ENST00000341259	ENST00000341259
SH2D1A	ENST00000371139	ENST00000371139	ENST00000371139	ENST00000371139
SHOC2	ENST00000369452	ENST00000369452	ENST00000369452	ENST00000369452
SHQ1	ENST00000325599	ENST00000325599	ENST00000325599	ENST00000325599
SLFN11	ENST00000685675	ENST00000308377	ENST00000308377	
SLIT2	ENST00000504154	ENST00000504154		ENST00000504154
SLIT3	ENST00000519560	ENST00000519560		ENST00000519560
SLX4	ENST00000294008	ENST00000294008	ENST00000294008	ENST00000294008
SMAD2	ENST00000262160	ENST00000262160	ENST00000402690	ENST00000262160
SMAD3	ENST00000327367	ENST00000327367	ENST00000327367	ENST00000327367
SMAD4	ENST00000342988	ENST00000342988	ENST00000342988	ENST00000342988
SMARCA1	ENST00000371121	ENST00000371122		ENST00000371121
SMARCA2	ENST00000349721	ENST00000349721	ENST00000349721	ENST00000349721
SMARCA4	ENST00000344626	ENST00000646693	ENST00000646693	ENST00000344626
SMARCB1	ENST00000644036	ENST00000618915	ENST00000644036	ENST00000644036
SMARCD1	ENST00000394963	ENST00000394963	ENST00000394963	ENST00000394963
SMARCE1	ENST00000348513	ENST00000348513	ENST00000348513	ENST00000348513
SMC1A	ENST00000322213	ENST00000322213		ENST00000322213
SMC3	ENST00000361804	ENST00000361804		ENST00000361804
SMG1	ENST00000446231	ENST00000446231		ENST00000446231
SMO	ENST00000249373	ENST00000249373	ENST00000249373	ENST00000249373
SMYD3	ENST00000490107	ENST00000490107	ENST00000490107	ENST00000490107
SOCS1	ENST00000332029	ENST00000332029	ENST00000332029	
SOCS3	ENST00000330871	ENST00000330871		ENST00000330871
SOS1	ENST00000402219	ENST00000402219	ENST00000402219	ENST00000402219
SOX10	ENST00000396884	ENST00000360880		ENST00000396884
SOX17	ENST00000297316	ENST00000297316	ENST00000297316	ENST00000297316
SOX2	ENST00000325404	ENST00000325404	ENST00000325404	ENST00000325404
SOX9	ENST00000245479	ENST00000245479	ENST00000245479	ENST00000245479
SP140	ENST00000392045	ENST00000392045		ENST00000392045
SPEN	ENST00000375759	ENST00000375759	ENST00000375759	ENST00000375759
SPOP	ENST00000504102	ENST00000347630	ENST00000504102	ENST00000504102
SPRED1	ENST00000299084	ENST00000299084	ENST00000299084	ENST00000299084
SPRTN	ENST00000295050	ENST00000295050		ENST00000295050
SQSTM1	ENST00000389805	ENST00000389805		ENST00000389805
SRC	ENST00000373578	ENST00000358208	ENST00000373578	ENST00000373578
SRP72	ENST00000642900	ENST00000642900		ENST00000642900
SRSF2	ENST00000359995	ENST00000359995	ENST00000392485	ENST00000359995
SS18	ENST00000415083	ENST00000415083		ENST00000415083
SSX1	ENST00000376919	ENST00000376919		ENST00000376919
SSX2	ENST00000337502	ENST00000337502		
STAG1	ENST00000383202	ENST00000383202		ENST00000383202
STAG2	ENST00000371145	ENST00000218089	ENST00000218089	ENST00000371145
STAT1	ENST00000361099	ENST00000361099		ENST00000361099
STAT2	ENST00000314128	ENST00000314128		ENST00000314128
STAT3	ENST00000264657	ENST00000264657	ENST00000264657	ENST00000264657
STAT4	ENST00000392320	ENST00000358470		ENST00000392320
STAT5A	ENST00000590949	ENST00000345506	ENST00000345506	ENST00000590949
STAT5B	ENST00000293328	ENST00000293328	ENST00000293328	ENST00000293328
STAT6	ENST00000300134	ENST00000300134		ENST00000300134
STK11	ENST00000326873	ENST00000326873	ENST00000326873	ENST00000326873
STK19	ENST00000685781	ENST00000375331	ENST00000375331	
STK40	ENST00000373132	ENST00000373129	ENST00000373129	ENST00000373132
SUFU	ENST00000369902	ENST00000369902	ENST00000369902	ENST00000369902
SUZ12	ENST00000322652	ENST00000322652	ENST00000322652	ENST00000322652
SYK	ENST00000375754	ENST00000375746	ENST00000375754	ENST00000375754
SZT2	ENST00000634258	ENST00000562955		ENST00000634258
TACSTD2	ENST00000371225			ENST00000371225
TAF1	ENST00000423759	ENST00000423759		ENST00000423759
TAL1	ENST00000691006	ENST00000294339		
TAP1	ENST00000354258	ENST00000354258	ENST00000354258	ENST00000354258
TAP2	ENST00000374897	ENST00000383119	ENST00000652259	ENST00000374897
TBL1XR1	ENST00000457928	ENST00000430069		ENST00000457928
TBX3	ENST00000349155	ENST00000257566	ENST00000257566	ENST00000349155
TCF3	ENST00000262965	ENST00000588136	ENST00000588136	ENST00000262965
TCF7L2	ENST00000355995	ENST00000627217	ENST00000627217	ENST00000627217
TCL1A	ENST00000402399	ENST00000402399		ENST00000402399
TCL1B	ENST00000340722	ENST00000340722		ENST00000340722
TEK	ENST00000380036	ENST00000380036	ENST00000380036	ENST00000380036
TENT5C	ENST00000369448	ENST00000369448	ENST00000369448	ENST00000369448
TERT	ENST00000310581	ENST00000310581	ENST00000310581	ENST00000310581
TET1	ENST00000373644	ENST00000373644	ENST00000373644	ENST00000373644
TET2	ENST00000380013	ENST00000380013	ENST00000380013	ENST00000380013
TET3	ENST00000409262	ENST00000409262		ENST00000409262
TFE3	ENST00000315869	ENST00000315869		ENST00000315869
TGFBR1	ENST00000374994	ENST00000374994	ENST00000374994	ENST00000374994
TGFBR2	ENST00000295754	ENST00000295754	ENST00000295754	ENST00000295754
TIGAR	ENST00000179259	ENST00000179259		ENST00000179259
TLE1	ENST00000376499	ENST00000376499		ENST00000376499
TLE2	ENST00000262953	ENST00000262953		ENST00000262953
TLE3	ENST00000451782	ENST00000558939		ENST00000451782
TLE4	ENST00000376552	ENST00000376552		ENST00000376552
TLX1	ENST00000370196	ENST00000370196		ENST00000370196
TLX3	ENST00000296921	ENST00000296921		ENST00000296921
TMEM127	ENST00000258439	ENST00000258439	ENST00000258439	ENST00000258439
TMPRSS2	ENST00000332149	ENST00000398585	ENST00000398585	ENST00000332149
TNFAIP3	ENST00000612899	ENST00000237289	ENST00000612899	ENST00000612899
TNFRSF14	ENST00000355716	ENST00000355716	ENST00000355716	ENST00000355716
TNFRSF17	ENST00000053243	ENST00000053243		ENST00000053243
TNFSF13	ENST00000338784	ENST00000338784		
TOE1	ENST00000372090		ENST00000372090	ENST00000372090
TONSL	ENST00000409379	ENST00000409379		ENST00000409379
TOP1	ENST00000361337	ENST00000361337	ENST00000361337	ENST00000361337
TOP2A	ENST00000423485	ENST00000423485		ENST00000423485
TP53	ENST00000269305	ENST00000269305	ENST00000269305	ENST00000269305
TP53BP1	ENST00000382044	ENST00000382044	ENST00000382044	ENST00000382044
TP63	ENST00000264731	ENST00000264731	ENST00000264731	ENST00000264731
TPM3	ENST00000651641	ENST00000368530		ENST00000651641
TPMT	ENST00000309983	ENST00000309983		ENST00000309983
TRA				
TRAF2	ENST00000247668	ENST00000247668	ENST00000247668	ENST00000247668
TRAF3	ENST00000392745	ENST00000392745		ENST00000392745
TRAF5	ENST00000261464	ENST00000261464		ENST00000261464
TRAF7	ENST00000326181	ENST00000326181	ENST00000326181	ENST00000326181
TRB				
TRD				
TRG				
TRIB3	ENST00000217233	ENST00000217233		
TRIM27	ENST00000377199	ENST00000377199		ENST00000377199
TRIP13	ENST00000166345	ENST00000166345	ENST00000166345	ENST00000166345
TSC1	ENST00000298552	ENST00000298552	ENST00000298552	ENST00000298552
TSC2	ENST00000219476	ENST00000219476	ENST00000219476	ENST00000219476
TSHR	ENST00000298171	ENST00000541158	ENST00000298171	ENST00000298171
TYK2	ENST00000525621	ENST00000264818		ENST00000525621
TYMS	ENST00000323274	ENST00000323274		ENST00000323274
U2AF1	ENST00000291552	ENST00000291552	ENST00000291552	ENST00000291552
U2AF2	ENST00000308924	ENST00000308924		ENST00000308924
UBA1	ENST00000335972			ENST00000335972
UBE2A	ENST00000371558	ENST00000371558		ENST00000371558
UBR5	ENST00000520539	ENST00000520539		ENST00000520539
UBTF	ENST00000436088			ENST00000436088
UCHL1	ENST00000284440	ENST00000284440		ENST00000284440
UPF1	ENST00000262803	ENST00000262803	ENST00000262803	ENST00000262803
USP1	ENST00000339950			ENST00000339950
USP6	ENST00000574788	ENST00000250066		ENST00000574788
USP8	ENST00000307179	ENST00000307179	ENST00000307179	ENST00000307179
VAV1	ENST00000602142	ENST00000602142		ENST00000602142
VAV2	ENST00000371850	ENST00000371850		ENST00000371850
VEGFA	ENST00000672860	ENST00000523873	ENST00000523873	
VHL	ENST00000256474	ENST00000256474	ENST00000256474	ENST00000256474
VTCN1	ENST00000369458	ENST00000369458	ENST00000369458	ENST00000369458
WDR74	ENST00000278856		ENST00000529106	ENST00000278856
WEE1	ENST00000450114			ENST00000450114
WIF1	ENST00000286574	ENST00000286574		ENST00000286574
WRN	ENST00000298139	ENST00000298139		ENST00000298139
WT1	ENST00000452863	ENST00000452863	ENST00000452863	ENST00000452863
WWP1	ENST00000517970	ENST00000265428		ENST00000517970
WWTR1	ENST00000360632	ENST00000360632	ENST00000360632	ENST00000360632
XBP1	ENST00000344347	ENST00000216037		
XIAP	ENST00000371199	ENST00000355640	ENST00000371199	ENST00000371199
XPA	ENST00000375128	ENST00000375128		ENST00000375128
XPC	ENST00000285021	ENST00000285021		ENST00000285021
XPO1	ENST00000401558	ENST00000401558	ENST00000401558	ENST00000401558
XRCC1	ENST00000262887	ENST00000262887		ENST00000262887
XRCC2	ENST00000359321	ENST00000359321	ENST00000359321	ENST00000359321
YAP1	ENST00000282441	ENST00000282441	ENST00000282441	ENST00000282441
YES1	ENST00000314574	ENST00000314574	ENST00000314574	ENST00000314574
YY1	ENST00000262238	ENST00000262238		ENST00000262238
ZBTB20	ENST00000675478	ENST00000474710		ENST00000675478
ZBTB7A	ENST00000322357	ENST00000322357		ENST00000322357
ZFHX3	ENST00000268489	ENST00000268489	ENST00000268489	ENST00000268489
ZFP36L1	ENST00000439696	ENST00000336440		ENST00000439696
ZFP36L2	ENST00000282388	ENST00000282388		ENST00000282388
ZMYM3	ENST00000314425	ENST00000314425		ENST00000314425
ZNF217	ENST00000371471	ENST00000302342		ENST00000371471
ZNF292	ENST00000369577			ENST00000369577
ZNF750	ENST00000269394	ENST00000269394		ENST00000269394
ZNRF3	ENST00000544604	ENST00000544604	ENST00000544604	ENST00000544604
ZRSR2	ENST00000307771	ENST00000307771	ENST00000307771	ENST00000307771
